ID	stim_file	start_vol	end_vol
sub-control007	04_S9_combined_small.mp4	207	222
sub-control007	05_K4_combined_small.mp4	653	668
sub-control007	06_H7_combined_small.mp4	125	141
sub-control007	07_K2_combined_small.mp4	354	367
sub-control007	08_S12_combined_small.mp4	911	931
sub-control007	09_S11_combined_small.mp4	845	856
sub-control007	10_S27_combined_small.mp4	66	81
sub-control007	11_K21_long_combined_small.mp4	577	598
sub-control007	12_H37_combined_small.mp4	413	427
sub-control007	13_Trick6_short_combined_small.mp4	31	49
sub-control007	14_K19_long_combined_small.mp4	946	961
sub-control007	15_S18_combined_small.mp4	978	993
sub-control007	16_H19_combined_small.mp4	156	167
sub-control007	17_Trick37_combined_small.mp4	807	829
sub-control007	18_Trick4_combined_small.mp4	613	636
sub-control007	19_H17_combined_small.mp4	507	530
sub-control007	20_Trick20_short_combined_small.mp4	265	277
sub-control007	21_S15_combined_small.mp4	683	698
sub-control007	22_K18_combined_small.mp4	99	109
sub-control007	23_K10_combined_small.mp4	239	250
sub-control007	24_Trick28_combined_small.mp4	445	465
sub-control007	25_S25_combined_small.mp4	1008	1034
sub-control007	26_S30_combined_small.mp4	1113	1125
sub-control007	27_S31_combined_small.mp4	295	305
sub-control007	28_K24_combined_small.mp4	4	15
sub-control007	29_H36_combined_small.mp4	1049	1066
sub-control007	30_H15_combined_small.mp4	777	792
sub-control007	31_K3_combined_small.mp4	480	492
sub-control007	32_K16_short_combined_small.mp4	545	560
sub-control007	33_S21_combined_small.mp4	182	192
sub-control007	34_Trick38_combined_small.mp4	1085	1098
sub-control007	35_Trick32_long_combined_small.mp4	872	895
sub-control007	36_Trick7_short_combined_small.mp4	714	724
sub-control009	01_H35_combined_small.mp4	505	523
sub-control009	02_H10_combined_small.mp4	4	19
sub-control009	03_H16_combined_small.mp4	887	903
sub-control009	04_S9_combined_small.mp4	820	835
sub-control009	05_K4_combined_small.mp4	135	150
sub-control009	06_H7_combined_small.mp4	1016	1032
sub-control009	07_K2_combined_small.mp4	538	551
sub-control009	08_S12_combined_small.mp4	627	647
sub-control009	09_S11_combined_small.mp4	195	206
sub-control009	10_S27_combined_small.mp4	475	490
sub-control009	11_K21_long_combined_small.mp4	851	872
sub-control009	12_H37_combined_small.mp4	957	971
sub-control009	13_Trick6_short_combined_small.mp4	689	707
sub-control009	14_K19_long_combined_small.mp4	165	180
sub-control009	15_S18_combined_small.mp4	790	805
sub-control009	16_H19_combined_small.mp4	367	378
sub-control009	17_Trick37_combined_small.mp4	722	744
sub-control009	18_Trick4_combined_small.mp4	97	120
sub-control009	19_H17_combined_small.mp4	294	317
sub-control009	20_Trick20_short_combined_small.mp4	988	1000
sub-control009	21_S15_combined_small.mp4	63	78
sub-control009	22_K18_combined_small.mp4	601	611
sub-control009	23_K10_combined_small.mp4	419	430
sub-control009	24_Trick28_combined_small.mp4	1047	1067
sub-control009	25_S25_combined_small.mp4	222	248
sub-control009	26_S30_combined_small.mp4	1113	1125
sub-control009	27_S31_combined_small.mp4	763	773
sub-control009	28_K24_combined_small.mp4	445	456
sub-control009	29_H36_combined_small.mp4	566	583
sub-control009	30_H15_combined_small.mp4	264	279
sub-control009	31_K3_combined_small.mp4	34	46
sub-control009	32_K16_short_combined_small.mp4	334	349
sub-control009	33_S21_combined_small.mp4	664	674
sub-control009	34_Trick38_combined_small.mp4	1085	1098
sub-control009	35_Trick32_long_combined_small.mp4	919	942
sub-control009	36_Trick7_short_combined_small.mp4	393	403
sub-control011	01_H35_combined_small.mp4	521	539
sub-control011	02_H10_combined_small.mp4	784	799
sub-control011	03_H16_combined_small.mp4	490	506
sub-control011	04_S9_combined_small.mp4	656	671
sub-control011	05_K4_combined_small.mp4	366	381
sub-control011	06_H7_combined_small.mp4	1109	1125
sub-control011	07_K2_combined_small.mp4	909	922
sub-control011	08_S12_combined_small.mp4	1074	1094
sub-control011	09_S11_combined_small.mp4	435	446
sub-control011	10_S27_combined_small.mp4	186	201
sub-control011	11_K21_long_combined_small.mp4	95	116
sub-control011	12_H37_combined_small.mp4	937	951
sub-control011	13_Trick6_short_combined_small.mp4	715	733
sub-control011	14_K19_long_combined_small.mp4	30	45
sub-control011	15_S18_combined_small.mp4	62	77
