Subj1	Subj2	grp	InputFile	\
sub-control043	sub-experimental012	G12	ISC_sub-control043sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental014	G12	ISC_sub-control043sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental016	G12	ISC_sub-control043sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental018	G12	ISC_sub-control043sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental020	G12	ISC_sub-control043sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental022	G12	ISC_sub-control043sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental024	G12	ISC_sub-control043sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental026	G12	ISC_sub-control043sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental028	G12	ISC_sub-control043sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental030	G12	ISC_sub-control043sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental032	G12	ISC_sub-control043sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental034	G12	ISC_sub-control043sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental036	G12	ISC_sub-control043sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental038	G12	ISC_sub-control043sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental040	G12	ISC_sub-control043sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental042	G12	ISC_sub-control043sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental044	G12	ISC_sub-control043sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental046	G12	ISC_sub-control043sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental048	G12	ISC_sub-control043sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-control043	sub-experimental050	G12	ISC_sub-control043sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-control047	G11	ISC_sub-control045sub-control047_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-control049	G11	ISC_sub-control045sub-control049_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental004	G12	ISC_sub-control045sub-experimental004_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental005	G12	ISC_sub-control045sub-experimental005_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental006	G12	ISC_sub-control045sub-experimental006_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental008	G12	ISC_sub-control045sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental010	G12	ISC_sub-control045sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental012	G12	ISC_sub-control045sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental014	G12	ISC_sub-control045sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental016	G12	ISC_sub-control045sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental018	G12	ISC_sub-control045sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental020	G12	ISC_sub-control045sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental022	G12	ISC_sub-control045sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental024	G12	ISC_sub-control045sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental026	G12	ISC_sub-control045sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental028	G12	ISC_sub-control045sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental030	G12	ISC_sub-control045sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental032	G12	ISC_sub-control045sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental034	G12	ISC_sub-control045sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental036	G12	ISC_sub-control045sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental038	G12	ISC_sub-control045sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental040	G12	ISC_sub-control045sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental042	G12	ISC_sub-control045sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental044	G12	ISC_sub-control045sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental046	G12	ISC_sub-control045sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental048	G12	ISC_sub-control045sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-control045	sub-experimental050	G12	ISC_sub-control045sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-control049	G11	ISC_sub-control047sub-control049_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental004	G12	ISC_sub-control047sub-experimental004_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental005	G12	ISC_sub-control047sub-experimental005_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental006	G12	ISC_sub-control047sub-experimental006_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental008	G12	ISC_sub-control047sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental010	G12	ISC_sub-control047sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental012	G12	ISC_sub-control047sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental014	G12	ISC_sub-control047sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental016	G12	ISC_sub-control047sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental018	G12	ISC_sub-control047sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental020	G12	ISC_sub-control047sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental022	G12	ISC_sub-control047sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental024	G12	ISC_sub-control047sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental026	G12	ISC_sub-control047sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental028	G12	ISC_sub-control047sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental030	G12	ISC_sub-control047sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental032	G12	ISC_sub-control047sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental034	G12	ISC_sub-control047sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental036	G12	ISC_sub-control047sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental038	G12	ISC_sub-control047sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental040	G12	ISC_sub-control047sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental042	G12	ISC_sub-control047sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental044	G12	ISC_sub-control047sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental046	G12	ISC_sub-control047sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental048	G12	ISC_sub-control047sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-control047	sub-experimental050	G12	ISC_sub-control047sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental004	G12	ISC_sub-control049sub-experimental004_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental005	G12	ISC_sub-control049sub-experimental005_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental006	G12	ISC_sub-control049sub-experimental006_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental008	G12	ISC_sub-control049sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental010	G12	ISC_sub-control049sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental012	G12	ISC_sub-control049sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental014	G12	ISC_sub-control049sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental016	G12	ISC_sub-control049sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental018	G12	ISC_sub-control049sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental020	G12	ISC_sub-control049sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental022	G12	ISC_sub-control049sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental024	G12	ISC_sub-control049sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental026	G12	ISC_sub-control049sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental028	G12	ISC_sub-control049sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental030	G12	ISC_sub-control049sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental032	G12	ISC_sub-control049sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental034	G12	ISC_sub-control049sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental036	G12	ISC_sub-control049sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental038	G12	ISC_sub-control049sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental040	G12	ISC_sub-control049sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental042	G12	ISC_sub-control049sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental044	G12	ISC_sub-control049sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental046	G12	ISC_sub-control049sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental048	G12	ISC_sub-control049sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-control049	sub-experimental050	G12	ISC_sub-control049sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental005	G22	ISC_sub-experimental004sub-experimental005_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental006	G22	ISC_sub-experimental004sub-experimental006_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental008	G22	ISC_sub-experimental004sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental010	G22	ISC_sub-experimental004sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental012	G22	ISC_sub-experimental004sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental014	G22	ISC_sub-experimental004sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental016	G22	ISC_sub-experimental004sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental018	G22	ISC_sub-experimental004sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental020	G22	ISC_sub-experimental004sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental022	G22	ISC_sub-experimental004sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental024	G22	ISC_sub-experimental004sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental026	G22	ISC_sub-experimental004sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental028	G22	ISC_sub-experimental004sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental030	G22	ISC_sub-experimental004sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental032	G22	ISC_sub-experimental004sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental034	G22	ISC_sub-experimental004sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental036	G22	ISC_sub-experimental004sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental038	G22	ISC_sub-experimental004sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental040	G22	ISC_sub-experimental004sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental042	G22	ISC_sub-experimental004sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental044	G22	ISC_sub-experimental004sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental046	G22	ISC_sub-experimental004sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental048	G22	ISC_sub-experimental004sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-experimental004	sub-experimental050	G22	ISC_sub-experimental004sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental006	G22	ISC_sub-experimental005sub-experimental006_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental008	G22	ISC_sub-experimental005sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental010	G22	ISC_sub-experimental005sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental012	G22	ISC_sub-experimental005sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental014	G22	ISC_sub-experimental005sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental016	G22	ISC_sub-experimental005sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental018	G22	ISC_sub-experimental005sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental020	G22	ISC_sub-experimental005sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental022	G22	ISC_sub-experimental005sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental024	G22	ISC_sub-experimental005sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental026	G22	ISC_sub-experimental005sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental028	G22	ISC_sub-experimental005sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental030	G22	ISC_sub-experimental005sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental032	G22	ISC_sub-experimental005sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental034	G22	ISC_sub-experimental005sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental036	G22	ISC_sub-experimental005sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental038	G22	ISC_sub-experimental005sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental040	G22	ISC_sub-experimental005sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental042	G22	ISC_sub-experimental005sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental044	G22	ISC_sub-experimental005sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental046	G22	ISC_sub-experimental005sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental048	G22	ISC_sub-experimental005sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-experimental005	sub-experimental050	G22	ISC_sub-experimental005sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental008	G22	ISC_sub-experimental006sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental010	G22	ISC_sub-experimental006sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental012	G22	ISC_sub-experimental006sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental014	G22	ISC_sub-experimental006sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental016	G22	ISC_sub-experimental006sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental018	G22	ISC_sub-experimental006sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental020	G22	ISC_sub-experimental006sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental022	G22	ISC_sub-experimental006sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental024	G22	ISC_sub-experimental006sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental026	G22	ISC_sub-experimental006sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental028	G22	ISC_sub-experimental006sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental030	G22	ISC_sub-experimental006sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental032	G22	ISC_sub-experimental006sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental034	G22	ISC_sub-experimental006sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental036	G22	ISC_sub-experimental006sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental038	G22	ISC_sub-experimental006sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental040	G22	ISC_sub-experimental006sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental042	G22	ISC_sub-experimental006sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental044	G22	ISC_sub-experimental006sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental046	G22	ISC_sub-experimental006sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental048	G22	ISC_sub-experimental006sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-experimental006	sub-experimental050	G22	ISC_sub-experimental006sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental010	G22	ISC_sub-experimental008sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental012	G22	ISC_sub-experimental008sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental014	G22	ISC_sub-experimental008sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental016	G22	ISC_sub-experimental008sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental018	G22	ISC_sub-experimental008sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental020	G22	ISC_sub-experimental008sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental022	G22	ISC_sub-experimental008sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental024	G22	ISC_sub-experimental008sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental026	G22	ISC_sub-experimental008sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental028	G22	ISC_sub-experimental008sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental030	G22	ISC_sub-experimental008sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental032	G22	ISC_sub-experimental008sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental034	G22	ISC_sub-experimental008sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental036	G22	ISC_sub-experimental008sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental038	G22	ISC_sub-experimental008sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental040	G22	ISC_sub-experimental008sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental042	G22	ISC_sub-experimental008sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental044	G22	ISC_sub-experimental008sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental046	G22	ISC_sub-experimental008sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental048	G22	ISC_sub-experimental008sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-experimental008	sub-experimental050	G22	ISC_sub-experimental008sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental012	G22	ISC_sub-experimental010sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental014	G22	ISC_sub-experimental010sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental016	G22	ISC_sub-experimental010sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental018	G22	ISC_sub-experimental010sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental020	G22	ISC_sub-experimental010sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental022	G22	ISC_sub-experimental010sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental024	G22	ISC_sub-experimental010sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental026	G22	ISC_sub-experimental010sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental028	G22	ISC_sub-experimental010sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental030	G22	ISC_sub-experimental010sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental032	G22	ISC_sub-experimental010sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental034	G22	ISC_sub-experimental010sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental036	G22	ISC_sub-experimental010sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental038	G22	ISC_sub-experimental010sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental040	G22	ISC_sub-experimental010sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental042	G22	ISC_sub-experimental010sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental044	G22	ISC_sub-experimental010sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental046	G22	ISC_sub-experimental010sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental048	G22	ISC_sub-experimental010sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-experimental010	sub-experimental050	G22	ISC_sub-experimental010sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental014	G22	ISC_sub-experimental012sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental016	G22	ISC_sub-experimental012sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental018	G22	ISC_sub-experimental012sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental020	G22	ISC_sub-experimental012sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental022	G22	ISC_sub-experimental012sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental024	G22	ISC_sub-experimental012sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental026	G22	ISC_sub-experimental012sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental028	G22	ISC_sub-experimental012sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental030	G22	ISC_sub-experimental012sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental032	G22	ISC_sub-experimental012sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental034	G22	ISC_sub-experimental012sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental036	G22	ISC_sub-experimental012sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental038	G22	ISC_sub-experimental012sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental040	G22	ISC_sub-experimental012sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental042	G22	ISC_sub-experimental012sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental044	G22	ISC_sub-experimental012sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental046	G22	ISC_sub-experimental012sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental048	G22	ISC_sub-experimental012sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-experimental012	sub-experimental050	G22	ISC_sub-experimental012sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental016	G22	ISC_sub-experimental014sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental018	G22	ISC_sub-experimental014sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental020	G22	ISC_sub-experimental014sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental022	G22	ISC_sub-experimental014sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental024	G22	ISC_sub-experimental014sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental026	G22	ISC_sub-experimental014sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental028	G22	ISC_sub-experimental014sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental030	G22	ISC_sub-experimental014sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental032	G22	ISC_sub-experimental014sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental034	G22	ISC_sub-experimental014sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental036	G22	ISC_sub-experimental014sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental038	G22	ISC_sub-experimental014sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental040	G22	ISC_sub-experimental014sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental042	G22	ISC_sub-experimental014sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental044	G22	ISC_sub-experimental014sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental046	G22	ISC_sub-experimental014sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental048	G22	ISC_sub-experimental014sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-experimental014	sub-experimental050	G22	ISC_sub-experimental014sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-experimental016	sub-experimental018	G22	ISC_sub-experimental016sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-experimental016	sub-experimental020	G22	ISC_sub-experimental016sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-experimental016	sub-experimental022	G22	ISC_sub-experimental016sub-experimental022_task-magictrickwatching_z.nii.gz	\
